,gen,i,max,max_el,max_pop,mean,mean_el,mean_pop,min,min_el,min_pop,ppa
211,91,4908,84.8084,84.8084,84.8084,77.65215098039215,84.80786666666671,80.30237901234568,62.8669,84.8076,62.8669,6
212,92,4959,85.8061,85.8061,85.8061,77.72364385964914,84.84121000000002,80.16647931034487,65.8626,84.8076,65.8626,6
213,93,5016,84.8082,85.8061,85.8061,73.90019411764708,84.84123000000001,79.02879531249998,64.8689,84.8076,64.8689,6
214,94,5050,85.8061,85.8061,85.8061,75.5575277777778,84.87451333333335,79.77739242424244,63.8586,84.8076,63.8586,6
215,95,5086,83.8127,85.8061,85.8061,74.00731111111111,84.87451333333335,78.94694848484846,66.8577,84.8076,66.8577,6
216,96,5122,85.8061,85.8061,85.8061,74.35401142857143,84.94108,79.20962769230769,65.8713,84.8076,65.8713,6
217,97,5157,85.8061,85.8061,85.8061,77.21366382978724,85.04102666666667,80.2243454545455,66.8534,84.8078,66.8534,6
218,98,5204,85.8061,85.8061,85.8061,76.79801228070176,85.17415666666665,79.64043103448275,65.8712,84.808,65.8712,6
219,99,5261,85.8061,85.8061,85.8061,78.30596716417905,85.40701333333332,80.4301494845361,68.8618,84.8082,68.8618,6
220,100,5328,85.8061,85.8061,85.8061,79.45661029411761,85.73934999999999,81.27816224489794,67.8582,84.8095,67.8582,6
221,101,5396,85.8061,85.8061,85.8061,79.3820961832061,85.80607333333329,80.56667763975153,69.8551,85.8059,69.8551,6
222,102,5527,85.8061,85.8061,85.8061,78.81143875968988,85.80609999999996,80.13118113207548,65.8697,85.8061,65.8697,6
223,103,5656,85.8061,85.8061,85.8061,76.5407451219512,85.80609999999996,79.02253660714284,64.8678,85.8061,64.8678,6
224,104,5738,85.8061,85.8061,85.8061,76.71408684210525,85.80609999999996,79.28729811320748,64.8648,85.8061,64.8648,6
225,105,5814,85.8061,85.8061,85.8061,76.24358181818184,85.80609999999996,79.23186874999998,65.8607,85.8061,65.8607,6
226,106,5880,85.8063,85.8063,85.8063,76.40305833333333,85.80610666666664,79.1686588235294,66.8555,85.8061,66.8555,6
