netlist length,solvability by arb 20x20,solvability of mean 20x20,solvability best of 20x20,solvability worst of 20x20,solvability by arb 30x30,solvability of mean 30x30,solvability best of 30x30,solvability worst of 30x30,solvability by arb 40x40,solvability of mean 40x40,solvability best of 40x40,solvability worst of 40x40,solvability by arb 50x50,solvability of mean 50x50,solvability best of 50x50,solvability worst of 50x50,solvability by arb 60x60,solvability of mean 60x60,solvability best of 60x60,solvability worst of 60x60,solvability by arb 70x70,solvability of mean 70x70,solvability best of 70x70,solvability worst of 70x70,solvability by arb 80x80,solvability of mean 80x80,solvability best of 80x80,solvability worst of 80x80,solvability by arb 90x90,solvability of mean 90x90,solvability best of 90x90,solvability worst of 90x90,solvability by arb 100x100,solvability of mean 100x100,solvability best of 100x100,solvability worst of 100x100
52,0,0,0,0,0,0,0,0,0,0.00575,0.45,0,0,0.017375,0.675,0,0.05,0.043500000000000004,0.8,0,0.1,0.10275000000000001,1,0,0.2,0.16175,0.95,0,0.35,0.1905,1,0,0.35,0.23324999999999999,0.95,0
53,0,0,0,0,0,0.00025,0.05,0,0,0.007,0.55,0,0,0.0115,0.7,0,0.1,0.03425,0.85,0,0.1,0.14075000000000001,0.9,0,0.15,0.122,1,0,0.15,0.133,1,0,0.35,0.2605,1,0
54,0,0,0,0,0,0,0,0,0,0.00125,0.15,0,0.025,0.016625,0.625,0,0,0.02625,0.75,0,0.05,0.08725,1,0,0.05,0.09,0.9,0,0.25,0.16375,1,0,0.1,0.20975,1,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006125,0.325,0,0,0.0275,0.7,0,0.05,0.072,0.9,0,0,0.08475,0.9,0,0.05,0.07725,0.95,0,0.15,0.13025,1,0
56,0,0,0,0,0,0,0,0,0,0.001,0.1,0,0,0.006125,0.3,0,0,0.029500000000000002,0.7,0,0,0.052000000000000005,0.9,0,0.1,0.06275,0.9,0,0.05,0.1385,0.95,0,0.1,0.1525,0.95,0
57,0,0,0,0,0,0,0,0,0,0.00175,0.15,0,0,0.002125,0.3,0,0,0.01725,0.7,0,0.15,0.039,0.85,0,0.1,0.09025,1,0,0.1,0.06425,0.95,0,0.15,0.12975,0.9,0
58,0,0,0,0,0,0,0,0,0,0.00125,0.25,0,0,0.00225,0.225,0,0,0.022,0.55,0,0.1,0.0525,0.9,0,0.15,0.077,0.85,0,0.15,0.10575,0.95,0,0.1,0.072,0.9,0
59,0,0,0,0,0,0,0,0,0,0.00025,0.05,0,0,0.0016250000000000001,0.275,0,0.05,0.00675,0.4,0,0.05,0.0265,0.8,0,0,0.0545,0.75,0,0.1,0.067,0.95,0,0.05,0.088,0.95,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00375,0.275,0,0.1,0.0115,0.55,0,0.05,0.03775,0.75,0,0,0.050749999999999997,0.8,0,0.15,0.06,0.95,0,0.05,0.1035,0.95,0
61,0,0,0,0,0,0,0,0,0,0.00025,0.05,0,0,0.002125,0.275,0,0.05,0.00925,0.7,0,0.05,0.03175,0.9,0,0,0.04625,0.9,0,0,0.043500000000000004,0.85,0,0,0.09975,1,0
62,0,0,0,0,0,0,0,0,0,0.00025,0.05,0,0,0.003875,0.2,0,0,0.003,0.25,0,0,0.0045,0.35,0,0.05,0.03475,0.8,0,0,0.03075,0.9,0,0,0.05575,0.85,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.075,0,0,0.0075,0.35,0,0,0.01025,0.6,0,0,0.02675,0.65,0,0,0.04375,0.8,0,0.05,0.097,0.9,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.075,0,0,0.00525,0.3,0,0.05,0.01375,0.55,0,0.05,0.01925,0.8,0,0.1,0.03475,0.7,0,0.05,0.0675,0.9,0
65,0,0,0,0,0,0,0,0,0,0.00025,0.05,0,0,0.000375,0.05,0,0,0.0022500000000000003,0.1,0,0,0.0035,0.35,0,0,0.0325,0.8,0,0,0.03125,0.75,0,0,0.05525,0.85,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000375,0.075,0,0,0.00075,0.15,0,0.05,0.00475,0.4,0,0.1,0.02925,0.6,0,0,0.019,0.65,0,0.05,0.042,0.85,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000375,0.075,0,0,0.004,0.35,0,0.05,0.00625,0.35,0,0,0.0085,0.5,0,0.05,0.02,0.65,0,0,0.0455,0.9,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000125,0.025,0,0,0.0005,0.1,0,0,0.0025,0.25,0,0,0.00675,0.5,0,0.1,0.025500000000000002,0.85,0,0.05,0.03175,0.7,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0.05,0,0,0.0045,0.25,0,0,0.004,0.5,0,0.05,0.0125,0.7,0,0.1,0.044250000000000005,0.7,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0.05,0,0,0.00275,0.25,0,0,0.0045000000000000005,0.25,0,0,0.018,0.65,0,0,0.02275,0.7,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.1,0,0,0.003,0.25,0,0,0.00775,0.4,0,0,0.01025,0.55,0,0,0.018250000000000002,0.8,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0.05,0,0,0.0005,0.05,0,0,0.0045,0.4,0,0,0.0025,0.25,0,0,0.0195,0.9,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0.05,0,0,0.0022500000000000003,0.25,0,0,0.007500000000000001,0.45,0,0.05,0.01575,0.75,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0.05,0,0,0.00075,0.1,0,0,0.0025,0.3,0,0.1,0.00375,0.35,0,0,0.00725,0.6,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0.2,0,0,0.00675,0.45,0,0,0.01175,0.5,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00075,0.1,0,0,0.00175,0.1,0,0.05,0.00275,0.25,0,0,0.0045,0.35,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0.05,0,0,0.00175,0.25,0,0,0.0025,0.3,0,0,0.007,0.55,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0.05,0,0,0.00425,0.35,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00125,0.15,0,0,0.0015,0.2,0
